District,Latitude,Longitude
Central & Western,22.263238581952084,114.15292051565375
Wan Chai,22.266548742774546,114.1786101878612
Eastern,22.263410975254743,114.21514842794757
Southern,22.257311626452164,114.18792991063452
Yau Tsim Mong,22.314723099999988,114.17124120000003
Sham Shui Po,22.338325572519075,114.15309959287534
Kowloon City,22.32986162576687,114.18861027607359
Wong Tai Sin,22.34950846153844,114.20122024475519
Kwun Tong,22.313950115532748,114.23487566110394
Tsuen Wan,22.392358716608562,114.1075138385597
Tuen Mun,22.401753667117713,114.00729119079843
Yuen Long,22.4436339571263,114.0706477346466
North,22.51351133575646,114.17009458882335
Tai Po,22.44956301415098,114.22615542452836
Sai Kung,22.35661799123446,114.26758673484296
Sha Tin,22.37798757869253,114.1931882748184
Kwai Tsing,22.360659731861215,114.14019253943219
Islands,22.28291868852459,114.02142049180326
