District,Central and Western,Eastern,Islands,Kowloon City,Kwai Tsing,Kwun Tong,North,Sai Kung,Sha Tin,Sham Shui Po,Southern,Tai Po,Tsuen Wan,Tuen Mun,Wan Chai,Wong Tai Sin,Yau Tsim Mong,Yuen Long
Central and Western,7527,1345,15,340,286,777,21,62,206,469,1016,116,166,52,2061,63,1245,37
Eastern,8758,14119,29,1313,1009,4510,98,617,731,1167,2090,347,524,174,7635,458,3333,92
Islands,3022,693,1558,428,941,830,27,90,273,805,499,103,537,284,1644,135,1796,83
Kowloon City,6502,3367,83,10334,2177,7413,170,746,1929,2974,1027,869,1025,378,4802,1795,9305,201
Kwai Tsing,4416,1758,289,1747,13838,3637,249,365,1787,3911,752,703,5289,871,2895,774,5693,508
Kwun Tong,5243,4997,92,3939,2377,19009,321,2644,2110,3158,1224,777,917,439,5464,2267,7443,251
North,1057,515,27,782,709,1542,5085,125,2212,890,222,2084,470,379,908,339,2079,458
Sai Kung,3014,2607,11,1287,718,4926,100,3326,721,1001,648,298,357,112,2505,744,2615,39
Sha Tin,7132,3576,188,4372,4220,9245,1222,1077,21691,4375,1239,3402,2527,939,5288,2295,9941,537
Sham Shui Po,2331,1019,46,1160,1559,1895,125,293,671,4318,428,271,760,296,1602,449,3656,221
Southern,11685,4626,51,1105,979,2874,97,345,473,1346,15389,369,555,149,7886,344,3569,196
Tai Po,1910,1075,58,1352,1232,2927,1052,272,3339,1460,252,7323,713,293,1538,416,3107,298
Tsuen Wan,3012,1254,170,1056,3614,2045,130,125,1147,1862,493,477,5834,670,1823,391,2963,456
Tuen Mun,4085,1723,242,1840,5327,3775,1087,336,1295,3636,747,882,4443,19952,3062,744,5792,4288
Wan Chai,3714,1770,3,329,239,837,16,96,190,292,651,100,91,47,3973,104,891,16
Wong Tai Sin,3154,1979,36,3214,1742,5806,225,841,1585,2277,626,583,790,300,2669,4906,5237,216
Yau Tsim Mong,2102,738,38,749,617,1075,54,139,365,885,256,190,444,100,1214,271,4751,65
Yuen Long,4293,1561,116,1860,3883,3525,1554,221,1734,3009,770,1085,3212,5860,3027,505,5903,11655
