District,Affordability_Index
Central and Western,0.03993847425074814
Wan Chai,0.04652658632133143
Eastern,0.053071979689671825
Southern,0.05395223119444543
Yau Tsim Mong,0.06950092875002763
Sham Shui Po,0.08027256450763558
Kowloon City,0.060562728763211546
Wong Tai Sin,0.06273248928156903
Kwun Tong,0.06082242409629442
Sai Kung,0.08025994845978666
Sha Tin,0.07150622606291689
Tai Po,0.06578080628064903
North,0.08560187837102082
Kwai Tsing,0.07465402308658442
Tsuen Wan,0.07887715126397522
Tuen Mun,0.07857512330846086
Yuen Long,0.08226576983577837
Islands,0.1589344874405975
